timestamp,series,trial_id,mode,model,return,sharpe,agent_vs_bnh,params_json
2025-09-09T16:18:13.193640,NEW_SERIES_ALLOCATION_SINGLE_ppo_daily_volatile_5trials_250909_161813,,,,,,,
2025-09-09T16:22:43,ALLOCATION_SINGLE_ppo_daily_volatile_5trials_250909_161813,trial_000,single,ppo,-0.0211,-0.0859,-0.0798,"{""erl"": {""learning_rate"": 1.3204392685000274e-05, ""batch_size"": 1024, ""gamma"": 0.9954379276836015, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 3.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""allocation"", ""freq"": ""daily"", ""dataset"": ""volatile""}"
2025-09-09T16:27:30,ALLOCATION_SINGLE_ppo_daily_volatile_5trials_250909_161813,trial_001,single,ppo,0.0232,0.3605,-0.0382,"{""erl"": {""learning_rate"": 0.0006012885242675586, ""batch_size"": 512, ""gamma"": 0.954298062218299, ""net_dims"": [1024, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""allocation"", ""freq"": ""daily"", ""dataset"": ""volatile""}"
2025-09-09T16:32:15,ALLOCATION_SINGLE_ppo_daily_volatile_5trials_250909_161813,trial_002,single,ppo,-0.0177,-0.0540,-0.0767,"{""erl"": {""learning_rate"": 1.1815053496472937e-05, ""batch_size"": 1024, ""gamma"": 0.9528928311116273, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""allocation"", ""freq"": ""daily"", ""dataset"": ""volatile""}"
2025-09-09T16:36:54,ALLOCATION_SINGLE_ppo_daily_volatile_5trials_250909_161813,trial_003,single,ppo,-0.0011,0.0999,-0.0610,"{""erl"": {""learning_rate"": 0.00038142226937329664, ""batch_size"": 512, ""gamma"": 0.9943398593021988, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""allocation"", ""freq"": ""daily"", ""dataset"": ""volatile""}"
2025-09-09T16:41:26,ALLOCATION_SINGLE_ppo_daily_volatile_5trials_250909_161813,trial_004,single,ppo,-0.0048,0.0643,-0.0646,"{""erl"": {""learning_rate"": 3.950916564838231e-05, ""batch_size"": 1024, ""gamma"": 0.9646752384611725, ""net_dims"": [512, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""allocation"", ""freq"": ""daily"", ""dataset"": ""volatile""}"
2025-09-09T16:42:18.274822,NEW_SERIES_ALLOCATION_SINGLE_sac_daily_volatile_5trials_250909_164218,,,,,,,
2025-09-09T16:46:57,ALLOCATION_SINGLE_sac_daily_volatile_5trials_250909_164218,trial_000,single,sac,0.0010,0.1185,-0.0591,"{""erl"": {""learning_rate"": 1.3204392685000274e-05, ""batch_size"": 1024, ""gamma"": 0.9954379276836015, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 3.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""allocation"", ""freq"": ""daily"", ""dataset"": ""volatile""}"
2025-09-09T16:53:42,ALLOCATION_SINGLE_sac_daily_volatile_5trials_250909_164218,trial_001,single,sac,0.0051,0.1627,-0.0553,"{""erl"": {""learning_rate"": 0.0006012885242675586, ""batch_size"": 512, ""gamma"": 0.954298062218299, ""net_dims"": [1024, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""allocation"", ""freq"": ""daily"", ""dataset"": ""volatile""}"
2025-09-09T16:58:26,ALLOCATION_SINGLE_sac_daily_volatile_5trials_250909_164218,trial_002,single,sac,0.0024,0.1351,-0.0577,"{""erl"": {""learning_rate"": 1.1815053496472937e-05, ""batch_size"": 1024, ""gamma"": 0.9528928311116273, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""allocation"", ""freq"": ""daily"", ""dataset"": ""volatile""}"
2025-09-09T17:04:37,ALLOCATION_SINGLE_sac_daily_volatile_5trials_250909_164218,trial_003,single,sac,-0.0133,-0.0195,-0.0725,"{""erl"": {""learning_rate"": 0.00038142226937329664, ""batch_size"": 512, ""gamma"": 0.9943398593021988, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""allocation"", ""freq"": ""daily"", ""dataset"": ""volatile""}"
