timestamp,series,trial_id,mode,model,return,sharpe,agent_vs_bnh,params_json
2025-09-09T12:01:01.489005,NEW_SERIES_TRADING_SINGLE_ppo_daily_volatile_20trials_250909_120101,,,,,,,
2025-09-09T12:04:44,TRADING_SINGLE_ppo_daily_volatile_20trials_250909_120101,trial_000,single,ppo,0.0074,0.1783,-0.0530,"{""erl"": {""learning_rate"": 1.3204392685000274e-05, ""batch_size"": 1024, ""gamma"": 0.9954379276836015, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 3.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""trading"", ""freq"": ""daily"", ""dataset"": ""volatile""}"
2025-09-09T12:08:43,TRADING_SINGLE_ppo_daily_volatile_20trials_250909_120101,trial_001,single,ppo,0.1132,1.1511,0.0463,"{""erl"": {""learning_rate"": 0.0006012885242675586, ""batch_size"": 512, ""gamma"": 0.954298062218299, ""net_dims"": [1024, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""trading"", ""freq"": ""daily"", ""dataset"": ""volatile""}"
2025-09-09T12:12:33,TRADING_SINGLE_ppo_daily_volatile_20trials_250909_120101,trial_002,single,ppo,0.0467,0.5349,-0.0162,"{""erl"": {""learning_rate"": 1.1815053496472937e-05, ""batch_size"": 1024, ""gamma"": 0.9528928311116273, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""trading"", ""freq"": ""daily"", ""dataset"": ""volatile""}"
2025-09-09T12:16:32,TRADING_SINGLE_ppo_daily_volatile_20trials_250909_120101,trial_003,single,ppo,0.0981,1.0661,0.0322,"{""erl"": {""learning_rate"": 0.00038142226937329664, ""batch_size"": 512, ""gamma"": 0.9943398593021988, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""trading"", ""freq"": ""daily"", ""dataset"": ""volatile""}"
2025-09-09T12:20:23,TRADING_SINGLE_ppo_daily_volatile_20trials_250909_120101,trial_004,single,ppo,0.0784,0.8484,0.0137,"{""erl"": {""learning_rate"": 3.950916564838231e-05, ""batch_size"": 1024, ""gamma"": 0.9646752384611725, ""net_dims"": [512, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""trading"", ""freq"": ""daily"", ""dataset"": ""volatile""}"
2025-09-09T12:24:26,TRADING_SINGLE_ppo_daily_volatile_20trials_250909_120101,trial_005,single,ppo,0.0715,0.8293,0.0072,"{""erl"": {""learning_rate"": 0.0008424694390043569, ""batch_size"": 2048, ""gamma"": 0.9604188446889279, ""net_dims"": [1024, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 4096, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""trading"", ""freq"": ""daily"", ""dataset"": ""volatile""}"
2025-09-09T12:24:54.533643,NEW_SERIES_TRADING_SINGLE_sac_daily_volatile_5trials_250909_122454,,,,,,,
2025-09-09T12:29:02,TRADING_SINGLE_sac_daily_volatile_5trials_250909_122454,trial_000,single,sac,0.0177,0.2888,-0.0434,"{""erl"": {""learning_rate"": 1.3204392685000274e-05, ""batch_size"": 1024, ""gamma"": 0.9954379276836015, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 3.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""trading"", ""freq"": ""daily"", ""dataset"": ""volatile""}"
2025-09-09T12:34:54,TRADING_SINGLE_sac_daily_volatile_5trials_250909_122454,trial_001,single,sac,0.0322,0.4121,-0.0298,"{""erl"": {""learning_rate"": 0.0006012885242675586, ""batch_size"": 512, ""gamma"": 0.954298062218299, ""net_dims"": [1024, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""trading"", ""freq"": ""daily"", ""dataset"": ""volatile""}"
2025-09-09T12:38:39,TRADING_SINGLE_sac_daily_volatile_5trials_250909_122454,trial_002,single,sac,0.0446,0.7032,-0.0181,"{""erl"": {""learning_rate"": 1.1815053496472937e-05, ""batch_size"": 1024, ""gamma"": 0.9528928311116273, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""trading"", ""freq"": ""daily"", ""dataset"": ""volatile""}"
2025-09-09T12:44:42,TRADING_SINGLE_sac_daily_volatile_5trials_250909_122454,trial_003,single,sac,0.0855,0.8851,0.0203,"{""erl"": {""learning_rate"": 0.00038142226937329664, ""batch_size"": 512, ""gamma"": 0.9943398593021988, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""trading"", ""freq"": ""daily"", ""dataset"": ""volatile""}"
2025-09-09T12:48:37,TRADING_SINGLE_sac_daily_volatile_5trials_250909_122454,trial_004,single,sac,0.0599,0.7294,-0.0038,"{""erl"": {""learning_rate"": 3.950916564838231e-05, ""batch_size"": 1024, ""gamma"": 0.9646752384611725, ""net_dims"": [512, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""trading"", ""freq"": ""daily"", ""dataset"": ""volatile""}"
