timestamp,series,trial_id,mode,model,return,sharpe,agent_vs_bnh,params_json
2025-09-03T12:40:00.261395,NEW_SERIES_TRADING_SINGLE_ppo_daily_crisis_20trials_250903_124000,,,,,,,
2025-09-03T12:43:46,TRADING_SINGLE_ppo_daily_crisis_20trials_250903_124000,trial_000,single,ppo,0.0540,0.4941,-0.0093,"{""erl"": {""learning_rate"": 1.3204392685000274e-05, ""batch_size"": 1024, ""gamma"": 0.9954379276836015, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 3.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""trading"", ""freq"": ""daily"", ""dataset"": ""crisis""}"
2025-09-03T12:47:46,TRADING_SINGLE_ppo_daily_crisis_20trials_250903_124000,trial_001,single,ppo,0.0445,0.4315,-0.0182,"{""erl"": {""learning_rate"": 0.0006012885242675586, ""batch_size"": 512, ""gamma"": 0.954298062218299, ""net_dims"": [1024, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""trading"", ""freq"": ""daily"", ""dataset"": ""crisis""}"
2025-09-03T12:51:35,TRADING_SINGLE_ppo_daily_crisis_20trials_250903_124000,trial_002,single,ppo,0.0766,0.6951,0.0120,"{""erl"": {""learning_rate"": 1.1815053496472937e-05, ""batch_size"": 1024, ""gamma"": 0.9528928311116273, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""trading"", ""freq"": ""daily"", ""dataset"": ""crisis""}"
2025-09-03T12:55:38,TRADING_SINGLE_ppo_daily_crisis_20trials_250903_124000,trial_003,single,ppo,0.0408,0.4086,-0.0217,"{""erl"": {""learning_rate"": 0.00038142226937329664, ""batch_size"": 512, ""gamma"": 0.9943398593021988, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""trading"", ""freq"": ""daily"", ""dataset"": ""crisis""}"
2025-09-03T12:59:40,TRADING_SINGLE_ppo_daily_crisis_20trials_250903_124000,trial_004,single,ppo,0.0524,0.5640,-0.0108,"{""erl"": {""learning_rate"": 3.950916564838231e-05, ""batch_size"": 1024, ""gamma"": 0.9646752384611725, ""net_dims"": [512, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""trading"", ""freq"": ""daily"", ""dataset"": ""crisis""}"
2025-09-03T13:03:48,TRADING_SINGLE_ppo_daily_crisis_20trials_250903_124000,trial_005,single,ppo,0.0238,0.2219,-0.0376,"{""erl"": {""learning_rate"": 0.0008424694390043569, ""batch_size"": 2048, ""gamma"": 0.9604188446889279, ""net_dims"": [1024, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 4096, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""trading"", ""freq"": ""daily"", ""dataset"": ""crisis""}"
2025-09-03T13:07:53,TRADING_SINGLE_ppo_daily_crisis_20trials_250903_124000,trial_006,single,ppo,0.0262,0.2362,-0.0354,"{""erl"": {""learning_rate"": 8.751422958289632e-05, ""batch_size"": 512, ""gamma"": 0.98032912425646, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""trading"", ""freq"": ""daily"", ""dataset"": ""crisis""}"
2025-09-03T13:11:41,TRADING_SINGLE_ppo_daily_crisis_20trials_250903_124000,trial_007,single,ppo,0.0463,0.4290,-0.0166,"{""erl"": {""learning_rate"": 1.214695435682223e-05, ""batch_size"": 512, ""gamma"": 0.9875671585263531, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""trading"", ""freq"": ""daily"", ""dataset"": ""crisis""}"
2025-09-03T13:15:41,TRADING_SINGLE_ppo_daily_crisis_20trials_250903_124000,trial_008,single,ppo,0.0820,0.7143,0.0170,"{""erl"": {""learning_rate"": 0.0002530255195800328, ""batch_size"": 2048, ""gamma"": 0.9779916049586713, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 3.0, ""buffer_size"": 1000000, ""buffer_init_size"": 4096, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""trading"", ""freq"": ""daily"", ""dataset"": ""crisis""}"
