timestamp,series,trial_id,mode,model,return,sharpe,agent_vs_bnh,params_json
2025-09-02T13:14:41.052140,NEW_SERIES_ALLOCATION_SINGLE_ppo_daily_stable_20trials_250902_131441,,,,,,,
2025-09-02T13:18:46,ALLOCATION_SINGLE_ppo_daily_stable_20trials_250902_131441,trial_000,single,ppo,-0.0609,-0.3755,-0.0677,"{""erl"": {""learning_rate"": 1.3204392685000274e-05, ""batch_size"": 1024, ""gamma"": 0.9954379276836015, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 3.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""allocation"", ""freq"": ""daily"", ""dataset"": ""stable""}"
2025-09-02T13:23:03,ALLOCATION_SINGLE_ppo_daily_stable_20trials_250902_131441,trial_001,single,ppo,-0.0550,-0.3237,-0.0619,"{""erl"": {""learning_rate"": 0.0006012885242675586, ""batch_size"": 512, ""gamma"": 0.954298062218299, ""net_dims"": [1024, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""allocation"", ""freq"": ""daily"", ""dataset"": ""stable""}"
2025-09-02T13:27:23,ALLOCATION_SINGLE_ppo_daily_stable_20trials_250902_131441,trial_002,single,ppo,-0.0796,-0.4539,-0.0864,"{""erl"": {""learning_rate"": 1.1815053496472937e-05, ""batch_size"": 1024, ""gamma"": 0.9528928311116273, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""allocation"", ""freq"": ""daily"", ""dataset"": ""stable""}"
2025-09-02T13:31:36,ALLOCATION_SINGLE_ppo_daily_stable_20trials_250902_131441,trial_003,single,ppo,-0.0301,-0.1789,-0.0372,"{""erl"": {""learning_rate"": 0.00038142226937329664, ""batch_size"": 512, ""gamma"": 0.9943398593021988, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""allocation"", ""freq"": ""daily"", ""dataset"": ""stable""}"
2025-09-02T13:35:51,ALLOCATION_SINGLE_ppo_daily_stable_20trials_250902_131441,trial_004,single,ppo,-0.0507,-0.3064,-0.0577,"{""erl"": {""learning_rate"": 3.950916564838231e-05, ""batch_size"": 1024, ""gamma"": 0.9646752384611725, ""net_dims"": [512, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""allocation"", ""freq"": ""daily"", ""dataset"": ""stable""}"
2025-09-02T13:40:05,ALLOCATION_SINGLE_ppo_daily_stable_20trials_250902_131441,trial_005,single,ppo,-0.0098,-0.0563,-0.0170,"{""erl"": {""learning_rate"": 0.0008424694390043569, ""batch_size"": 2048, ""gamma"": 0.9604188446889279, ""net_dims"": [1024, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 4096, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""allocation"", ""freq"": ""daily"", ""dataset"": ""stable""}"
2025-09-02T13:44:10,ALLOCATION_SINGLE_ppo_daily_stable_20trials_250902_131441,trial_006,single,ppo,-0.0534,-0.3272,-0.0603,"{""erl"": {""learning_rate"": 8.751422958289632e-05, ""batch_size"": 512, ""gamma"": 0.98032912425646, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""allocation"", ""freq"": ""daily"", ""dataset"": ""stable""}"
2025-09-02T13:48:21,ALLOCATION_SINGLE_ppo_daily_stable_20trials_250902_131441,trial_007,single,ppo,-0.0545,-0.3253,-0.0615,"{""erl"": {""learning_rate"": 1.214695435682223e-05, ""batch_size"": 512, ""gamma"": 0.9875671585263531, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""allocation"", ""freq"": ""daily"", ""dataset"": ""stable""}"
2025-09-02T13:52:31,ALLOCATION_SINGLE_ppo_daily_stable_20trials_250902_131441,trial_008,single,ppo,-0.0082,-0.0508,-0.0155,"{""erl"": {""learning_rate"": 0.0002530255195800328, ""batch_size"": 2048, ""gamma"": 0.9779916049586713, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 3.0, ""buffer_size"": 1000000, ""buffer_init_size"": 4096, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""allocation"", ""freq"": ""daily"", ""dataset"": ""stable""}"
2025-09-02T13:56:44,ALLOCATION_SINGLE_ppo_daily_stable_20trials_250902_131441,trial_009,single,ppo,-0.0383,-0.2301,-0.0453,"{""erl"": {""learning_rate"": 0.00021212027075858517, ""batch_size"": 2048, ""gamma"": 0.9961879484402281, ""net_dims"": [1024, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 3.0, ""buffer_size"": 1000000, ""buffer_init_size"": 4096, ""eval_gap"": 64, ""eval_times"": 16}, ""task"": ""allocation"", ""freq"": ""daily"", ""dataset"": ""stable""}"
