timestamp,series,trial_id,mode,model,return,sharpe,agent_vs_bnh,params_json
2025-08-01T12:33:50.751098,NEW_SERIES_PARETO_ddpg_20trials_250801_123350,,,,,,,
2025-08-01T12:44:01,PARETO_ddpg_20trials_250801_123350,trial_000,pareto,ddpg,-0.0416,-0.2595,-0.0486,"{""erl"": {""learning_rate"": 0.0007621679709401085, ""batch_size"": 512, ""gamma"": 0.9688460896831049, ""net_dimension"": 1024, ""net_dims"": [512, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 3.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-08-01T12:54:09,PARETO_ddpg_20trials_250801_123350,trial_001,pareto,ddpg,0.0001,0.0007,-0.0072,"{""erl"": {""learning_rate"": 0.0006828881974747603, ""batch_size"": 4096, ""gamma"": 0.9786238838452698, ""net_dimension"": 512, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 8192, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-08-01T13:04:13,PARETO_ddpg_20trials_250801_123350,trial_002,pareto,ddpg,0.0577,0.3017,0.0500,"{""erl"": {""learning_rate"": 0.00033578125137511127, ""batch_size"": 512, ""gamma"": 0.9920801720114683, ""net_dimension"": 256, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-08-01T13:14:21,PARETO_ddpg_20trials_250801_123350,trial_003,pareto,ddpg,-0.0499,-0.2812,-0.0569,"{""erl"": {""learning_rate"": 7.41094906939532e-05, ""batch_size"": 1024, ""gamma"": 0.955358501001489, ""net_dimension"": 1024, ""net_dims"": [512, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-08-01T13:24:42,PARETO_ddpg_20trials_250801_123350,trial_004,pareto,ddpg,-0.0263,-0.1479,-0.0335,"{""erl"": {""learning_rate"": 0.000785509492013777, ""batch_size"": 2048, ""gamma"": 0.9885167229617104, ""net_dimension"": 512, ""net_dims"": [1024, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 4096, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-08-01T13:34:57,PARETO_ddpg_20trials_250801_123350,trial_005,pareto,ddpg,-0.0161,-0.0847,-0.0233,"{""erl"": {""learning_rate"": 8.592184561301397e-05, ""batch_size"": 512, ""gamma"": 0.9706826620391986, ""net_dimension"": 256, ""net_dims"": [1024, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-08-01T13:45:11,PARETO_ddpg_20trials_250801_123350,trial_006,pareto,ddpg,-0.0004,-0.0019,-0.0077,"{""erl"": {""learning_rate"": 2.0675222899805328e-05, ""batch_size"": 1024, ""gamma"": 0.9514180249486432, ""net_dimension"": 1024, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 3.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-08-01T13:55:31,PARETO_ddpg_20trials_250801_123350,trial_007,pareto,ddpg,-0.0072,-0.0394,-0.0145,"{""erl"": {""learning_rate"": 5.204322886330706e-05, ""batch_size"": 512, ""gamma"": 0.9780515358019362, ""net_dimension"": 1024, ""net_dims"": [512, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-08-01T14:05:54,PARETO_ddpg_20trials_250801_123350,trial_008,pareto,ddpg,-0.0247,-0.1221,-0.0319,"{""erl"": {""learning_rate"": 0.00017878066913229912, ""batch_size"": 4096, ""gamma"": 0.9550064850729117, ""net_dimension"": 512, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 8192, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-08-01T14:16:20,PARETO_ddpg_20trials_250801_123350,trial_009,pareto,ddpg,-0.0481,-0.2401,-0.0551,"{""erl"": {""learning_rate"": 0.0004818596418780578, ""batch_size"": 2048, ""gamma"": 0.9934987758820544, ""net_dimension"": 256, ""net_dims"": [512, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 4096, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-08-01T14:26:44,PARETO_ddpg_20trials_250801_123350,trial_010,pareto,ddpg,-0.0608,-0.3553,-0.0677,"{""erl"": {""learning_rate"": 0.00010094134240993429, ""batch_size"": 2048, ""gamma"": 0.9855620915620367, ""net_dimension"": 512, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 4096, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-08-01T14:36:57,PARETO_ddpg_20trials_250801_123350,trial_011,pareto,ddpg,0.0298,0.1555,0.0222,"{""erl"": {""learning_rate"": 0.0001799927302438274, ""batch_size"": 512, ""gamma"": 0.9773590412521994, ""net_dimension"": 1024, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 3.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-08-01T14:47:03,PARETO_ddpg_20trials_250801_123350,trial_012,pareto,ddpg,0.0003,0.0014,-0.0071,"{""erl"": {""learning_rate"": 0.00023487882658834199, ""batch_size"": 512, ""gamma"": 0.9523877315616674, ""net_dimension"": 512, ""net_dims"": [1024, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-08-01T14:58:41,PARETO_ddpg_20trials_250801_123350,trial_013,pareto,ddpg,-0.0393,-0.2131,-0.0463,"{""erl"": {""learning_rate"": 4.45588566100497e-05, ""batch_size"": 4096, ""gamma"": 0.9639931689438496, ""net_dimension"": 1024, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 8192, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-08-01T15:13:10,PARETO_ddpg_20trials_250801_123350,trial_014,pareto,ddpg,0.0087,0.0433,0.0013,"{""erl"": {""learning_rate"": 0.00022045174792265613, ""batch_size"": 512, ""gamma"": 0.9554688875014213, ""net_dimension"": 512, ""net_dims"": [1024, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-08-01T15:27:45,PARETO_ddpg_20trials_250801_123350,trial_015,pareto,ddpg,-0.0629,-0.2903,-0.0697,"{""erl"": {""learning_rate"": 1.1566255403477095e-05, ""batch_size"": 4096, ""gamma"": 0.9971175594865034, ""net_dimension"": 256, ""net_dims"": [1024, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 8192, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-08-01T15:42:32,PARETO_ddpg_20trials_250801_123350,trial_016,pareto,ddpg,-0.0320,-0.1432,-0.0391,"{""erl"": {""learning_rate"": 0.0009111506307860676, ""batch_size"": 4096, ""gamma"": 0.9785097242922247, ""net_dimension"": 1024, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 8192, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-08-01T15:57:32,PARETO_ddpg_20trials_250801_123350,trial_017,pareto,ddpg,-0.0272,-0.1493,-0.0343,"{""erl"": {""learning_rate"": 1.2863623309447119e-05, ""batch_size"": 4096, ""gamma"": 0.972751802633389, ""net_dimension"": 256, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 3.0, ""buffer_size"": 1000000, ""buffer_init_size"": 8192, ""eval_gap"": 64, ""eval_times"": 16}}"
