timestamp,series,trial_id,mode,model,return,sharpe,params_json
2025-07-25T12:33:56.539957,NEW_SERIES_SINGLE_sac_50trials_250725_123356,,,,,,
2025-07-25T12:49:12,SINGLE_sac_50trials_250725_123356,trial_000,single,sac,-0.0030,-0.0165,"{""erl"": {""learning_rate"": 1.487565025056096e-05, ""batch_size"": 4096, ""gamma"": 0.9805164638553227, ""net_dimension"": 256, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 8192, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-25T13:04:13,SINGLE_sac_50trials_250725_123356,trial_001,single,sac,-0.0425,-0.2077,"{""erl"": {""learning_rate"": 1.0737365784512682e-05, ""batch_size"": 2048, ""gamma"": 0.9966436499889231, ""net_dimension"": 1024, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 3.0, ""buffer_size"": 1000000, ""buffer_init_size"": 4096, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-25T13:19:32,SINGLE_sac_50trials_250725_123356,trial_002,single,sac,-0.0746,-0.3528,"{""erl"": {""learning_rate"": 1.2340556100636084e-05, ""batch_size"": 4096, ""gamma"": 0.9784954006498623, ""net_dimension"": 1024, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 8192, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-25T13:34:58,SINGLE_sac_50trials_250725_123356,trial_003,single,sac,-0.1353,-0.5764,"{""erl"": {""learning_rate"": 0.0005123542463837287, ""batch_size"": 2048, ""gamma"": 0.9962722963890859, ""net_dimension"": 512, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 4096, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-25T13:50:16,SINGLE_sac_50trials_250725_123356,trial_004,single,sac,-0.0482,-0.2180,"{""erl"": {""learning_rate"": 0.0001892514886298557, ""batch_size"": 1024, ""gamma"": 0.9573071683814989, ""net_dimension"": 256, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-25T14:05:26,SINGLE_sac_50trials_250725_123356,trial_005,single,sac,-0.0063,-0.0309,"{""erl"": {""learning_rate"": 0.00016159431904449233, ""batch_size"": 4096, ""gamma"": 0.9897672692178153, ""net_dimension"": 1024, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 8192, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-25T14:20:47,SINGLE_sac_50trials_250725_123356,trial_006,single,sac,-0.0108,-0.0513,"{""erl"": {""learning_rate"": 4.322698518654739e-05, ""batch_size"": 1024, ""gamma"": 0.9859161589239627, ""net_dimension"": 256, ""net_dims"": [1024, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-25T14:35:50,SINGLE_sac_50trials_250725_123356,trial_007,single,sac,-0.0638,-0.3050,"{""erl"": {""learning_rate"": 0.0005296895298596505, ""batch_size"": 4096, ""gamma"": 0.9746348519352813, ""net_dimension"": 1024, ""net_dims"": [512, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 8192, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-25T14:51:18,SINGLE_sac_50trials_250725_123356,trial_008,single,sac,-0.0654,-0.3197,"{""erl"": {""learning_rate"": 0.000145332206208043, ""batch_size"": 2048, ""gamma"": 0.9878768450366535, ""net_dimension"": 256, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 4096, ""eval_gap"": 64, ""eval_times"": 16}}"
