timestamp,series,trial_id,mode,model,alpha,beta,sharpe_w,return,sharpe,reward,params_json
2025-07-19T14:09:00.995996,NEW_SERIES_SINGLE_sac_50trials_250719_140900,,,,,,,,,,
2025-07-19T14:28:49,SINGLE_sac_50trials_250719_140900,trial_000,single,sac,0.812,0.062,0.83,0.2394,0.6454,0.7769,"{""erl"": {""learning_rate"": 0.00011170504830562686, ""batch_size"": 2048, ""gamma"": 0.9989392969978391, ""net_dimension"": 512, ""net_dims"": [1024, 1024], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.812016871404634, ""beta"": 0.062486091092700924, ""sharpe_w"": 0.8327168804439208}"
2025-07-19T14:48:29,SINGLE_sac_50trials_250719_140900,trial_001,single,sac,0.750,0.479,0.05,0.1369,0.2751,0.1519,"{""erl"": {""learning_rate"": 0.00023178728024153875, ""batch_size"": 4096, ""gamma"": 0.9563001589899605, ""net_dimension"": 1024, ""net_dims"": [1024, 1024], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.7500140401999816, ""beta"": 0.4787790742713343, ""sharpe_w"": 0.05453774889274221}"
2025-07-19T15:08:06,SINGLE_sac_50trials_250719_140900,trial_002,single,sac,0.778,0.226,0.16,0.2515,0.6768,0.3577,"{""erl"": {""learning_rate"": 4.987453919619836e-05, ""batch_size"": 8192, ""gamma"": 0.987700495182445, ""net_dimension"": 256, ""net_dims"": [1024, 1024], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.7779727014689342, ""beta"": 0.22626679909808584, ""sharpe_w"": 0.15695346976113778}"
2025-07-19T15:27:42,SINGLE_sac_50trials_250719_140900,trial_003,single,sac,1.166,0.267,0.44,0.1966,0.6109,0.4639,"{""erl"": {""learning_rate"": 6.356678728686021e-05, ""batch_size"": 4096, ""gamma"": 0.98270218905517, ""net_dimension"": 1024, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 1.1661228064094575, ""beta"": 0.2670084763038948, ""sharpe_w"": 0.4376169130049381}"
2025-07-19T15:46:24,SINGLE_sac_50trials_250719_140900,trial_004,single,sac,0.901,0.191,0.33,0.3620,0.9116,0.6645,"{""erl"": {""learning_rate"": 0.00028801355680494655, ""batch_size"": 2048, ""gamma"": 0.9859259152885375, ""net_dimension"": 1024, ""net_dims"": [1024, 1024], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.9007674675568069, ""beta"": 0.19147580535471442, ""sharpe_w"": 0.33181350031431367}"
2025-07-19T16:05:51,SINGLE_sac_50trials_250719_140900,trial_005,single,sac,1.232,0.096,0.59,0.2218,0.6808,0.6238,"{""erl"": {""learning_rate"": 0.0001781614011552088, ""batch_size"": 4096, ""gamma"": 0.9624727431660715, ""net_dimension"": 256, ""net_dims"": [1024, 1024], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 1.2318854262710026, ""beta"": 0.09618528206077115, ""sharpe_w"": 0.5903897449529842}"
2025-07-19T16:25:40,SINGLE_sac_50trials_250719_140900,trial_006,single,sac,1.036,0.500,0.10,0.0622,0.1794,0.0796,"{""erl"": {""learning_rate"": 1.5504095070221504e-05, ""batch_size"": 8192, ""gamma"": 0.9557202479835178, ""net_dimension"": 256, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 1.0364921895766372, ""beta"": 0.4997362735156449, ""sharpe_w"": 0.09705221593236413}"
2025-07-19T16:45:20,SINGLE_sac_50trials_250719_140900,trial_007,single,sac,0.758,0.116,0.92,0.3069,0.8709,1.1052,"{""erl"": {""learning_rate"": 0.0002504729227157336, ""batch_size"": 8192, ""gamma"": 0.993990389505967, ""net_dimension"": 512, ""net_dims"": [1024, 1024], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.7578059684717546, ""beta"": 0.11615966356982022, ""sharpe_w"": 0.9165800396857816}"
2025-07-19T17:04:55,SINGLE_sac_50trials_250719_140900,trial_008,single,sac,1.132,0.282,0.97,0.2737,0.8242,1.0732,"{""erl"": {""learning_rate"": 3.6889745743753464e-05, ""batch_size"": 2048, ""gamma"": 0.9767826831032328, ""net_dimension"": 256, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 1.1322767503018343, ""beta"": 0.2820844097677694, ""sharpe_w"": 0.9699399954851855}"
