timestamp,series,trial_id,mode,model,return,sharpe,agent_vs_bnh,params_json
2025-07-31T16:49:34.934826,NEW_SERIES_PARETO_ppo_20trials_250731_164934,,,,,,,
2025-07-31T16:54:30,PARETO_ppo_20trials_250731_164934,trial_000,pareto,ppo,-0.0220,-0.1072,-0.0292,"{""erl"": {""learning_rate"": 5.9285649207870594e-05, ""batch_size"": 512, ""gamma"": 0.9924459409973667, ""net_dimension"": 1024, ""net_dims"": [512, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-31T16:59:21,PARETO_ppo_20trials_250731_164934,trial_001,pareto,ppo,-0.0069,-0.0382,-0.0142,"{""erl"": {""learning_rate"": 3.559963686466154e-05, ""batch_size"": 1024, ""gamma"": 0.9763822773246608, ""net_dimension"": 512, ""net_dims"": [512, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 3.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-31T17:04:12,PARETO_ppo_20trials_250731_164934,trial_002,pareto,ppo,0.0012,0.0061,-0.0061,"{""erl"": {""learning_rate"": 2.6585303183652707e-05, ""batch_size"": 512, ""gamma"": 0.9712000927087062, ""net_dimension"": 512, ""net_dims"": [1024, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 3.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-31T17:09:04,PARETO_ppo_20trials_250731_164934,trial_003,pareto,ppo,-0.0335,-0.1399,-0.0406,"{""erl"": {""learning_rate"": 0.0007900565636638002, ""batch_size"": 4096, ""gamma"": 0.9793340068119015, ""net_dimension"": 256, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 8192, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-31T17:13:55,PARETO_ppo_20trials_250731_164934,trial_004,pareto,ppo,-0.0347,-0.1937,-0.0418,"{""erl"": {""learning_rate"": 0.00024481574795558224, ""batch_size"": 2048, ""gamma"": 0.9529756063277699, ""net_dimension"": 512, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 3.0, ""buffer_size"": 1000000, ""buffer_init_size"": 4096, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-31T17:18:47,PARETO_ppo_20trials_250731_164934,trial_005,pareto,ppo,0.0392,0.2045,0.0315,"{""erl"": {""learning_rate"": 0.00014768588405949834, ""batch_size"": 2048, ""gamma"": 0.9757538761250957, ""net_dimension"": 1024, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 4096, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-08-01T14:53:32.530237,NEW_SERIES_PARETO_ppo_20trials_250801_145332,,,,,,,
2025-08-01T15:01:14,PARETO_ppo_20trials_250801_145332,trial_007,pareto,ppo,-0.0881,-0.4706,-0.0948,"{""erl"": {""learning_rate"": 1.606482684054497e-05, ""batch_size"": 512, ""gamma"": 0.9924679608540622, ""net_dimension"": 1024, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-08-01T15:09:33,PARETO_ppo_20trials_250801_145332,trial_008,pareto,ppo,-0.0467,-0.2374,-0.0537,"{""erl"": {""learning_rate"": 0.00031119825310508853, ""batch_size"": 4096, ""gamma"": 0.9584819861150847, ""net_dimension"": 512, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 3.0, ""buffer_size"": 1000000, ""buffer_init_size"": 8192, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-08-01T15:17:23,PARETO_ppo_20trials_250801_145332,trial_009,pareto,ppo,-0.0069,-0.0353,-0.0142,"{""erl"": {""learning_rate"": 9.799409997251243e-05, ""batch_size"": 1024, ""gamma"": 0.9834369287952367, ""net_dimension"": 1024, ""net_dims"": [512, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}}"
