timestamp,series,trial_id,mode,model,alpha,beta,sharpe_w,return,sharpe,reward,params_json
2025-07-19T14:13:12.569710,NEW_SERIES_SINGLE_td3_50trials_250719_141312,,,,,,,,,,
2025-07-20T11:09:43.809350,NEW_SERIES_SINGLE_td3_50trials_250720_110943,,,,,,,,,,
2025-07-20T11:18:12,SINGLE_td3_50trials_250720_110943,trial_001,single,td3,1.086,0.323,0.09,0.2678,0.7528,0.3377,"{""erl"": {""learning_rate"": 0.0001564120417935725, ""batch_size"": 4096, ""gamma"": 0.9775872378835115, ""net_dimension"": 256, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 1.0858879694844559, ""beta"": 0.32296301470896044, ""sharpe_w"": 0.09288133411933874}"
2025-07-20T11:26:42,SINGLE_td3_50trials_250720_110943,trial_002,single,td3,1.265,0.165,0.56,0.2206,0.6274,0.5694,"{""erl"": {""learning_rate"": 1.3907161403650952e-05, ""batch_size"": 8192, ""gamma"": 0.984429809655074, ""net_dimension"": 256, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 1.2646875556992758, ""beta"": 0.16455001996720559, ""sharpe_w"": 0.5559715221534237}"
2025-07-20T11:35:10,SINGLE_td3_50trials_250720_110943,trial_003,single,td3,1.056,0.397,0.19,0.1863,0.4738,0.2753,"{""erl"": {""learning_rate"": 5.371672761876041e-05, ""batch_size"": 8192, ""gamma"": 0.9776738351681379, ""net_dimension"": 512, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 1.0559076213506606, ""beta"": 0.39678449484672007, ""sharpe_w"": 0.18769799308998658}"
2025-07-20T11:43:38,SINGLE_td3_50trials_250720_110943,trial_004,single,td3,0.914,0.232,0.07,0.2860,0.8099,0.3433,"{""erl"": {""learning_rate"": 0.00012986519450558157, ""batch_size"": 4096, ""gamma"": 0.9819202950007577, ""net_dimension"": 256, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.914312438851735, ""beta"": 0.23233962112493423, ""sharpe_w"": 0.07080627669446216}"
2025-07-20T11:52:08,SINGLE_td3_50trials_250720_110943,trial_005,single,td3,0.763,0.241,0.21,0.1647,0.5349,0.2786,"{""erl"": {""learning_rate"": 4.0664211455253876e-05, ""batch_size"": 2048, ""gamma"": 0.9959643653749927, ""net_dimension"": 512, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.7625857077101043, ""beta"": 0.2408084837613385, ""sharpe_w"": 0.2129712105599001}"
2025-07-20T12:00:38,SINGLE_td3_50trials_250720_110943,trial_006,single,td3,0.804,0.426,0.63,0.3014,0.7666,0.7863,"{""erl"": {""learning_rate"": 4.861440227316115e-05, ""batch_size"": 8192, ""gamma"": 0.9701881409876477, ""net_dimension"": 1024, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.8040290950316105, ""beta"": 0.42553921792965343, ""sharpe_w"": 0.6325333206337318}"
2025-07-20T12:09:07,SINGLE_td3_50trials_250720_110943,trial_007,single,td3,1.229,0.418,0.48,0.1669,0.4395,0.3786,"{""erl"": {""learning_rate"": 5.894465292693824e-05, ""batch_size"": 8192, ""gamma"": 0.9618391049502433, ""net_dimension"": 1024, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 1.2292265607690636, ""beta"": 0.4179212513591923, ""sharpe_w"": 0.48176421751810605}"
2025-07-20T12:17:35,SINGLE_td3_50trials_250720_110943,trial_008,single,td3,1.278,0.208,0.93,0.2790,0.7271,0.9545,"{""erl"": {""learning_rate"": 8.634948011464509e-05, ""batch_size"": 2048, ""gamma"": 0.9793388074619748, ""net_dimension"": 256, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 1.2782992979515164, ""beta"": 0.20809089316848622, ""sharpe_w"": 0.9289986496022583}"
